Brand,Title,Selling Price,MRP Price,Average Rating,Rating Count,Web URL
Parx,Parx Blue Cotton Slim Fit Printed Shirt,₹1264.00,₹2299.00,0,0,https://www.tatacliq.com/parx-blue-cotton-slim-fit-printed-shirt/p-mp000000019129580
U.S. Polo Assn.,U.S. Polo Assn. Blue Cotton Regular Fit Checks Shirt,₹2699.00,₹2699.00,0,0,https://www.tatacliq.com/u-s-polo-assn-blue-cotton-regular-fit-checks-shirt/p-mp000000019227846
Allen Solly,Allen Solly Green Cotton Slim Fit Printed Shirt,₹1379.00,₹2299.00,0,0,https://www.tatacliq.com/allen-solly-green-cotton-slim-fit-printed-shirt/p-mp000000018940961
Louis Philippe Sport,Louis Philippe Sport Green Cotton Slim Fit Checks Shirt,₹2499.00,₹2499.00,0,0,https://www.tatacliq.com/louis-philippe-sport-green-cotton-slim-fit-checks-shirt/p-mp000000018941951
Parx,Parx Green Cotton Slim Fit Checks Shirt,₹1209.00,₹2199.00,0,0,https://www.tatacliq.com/parx-green-cotton-slim-fit-checks-shirt/p-mp000000019129155
Mufti,Mufti Light Olive Slim Fit Textured Cotton Linen Shirt,₹1176.00,₹2399.00,0,0,https://www.tatacliq.com/mufti-light-olive-slim-fit-textured-cotton-linen-shirt/p-mp000000019460821
Crimsoune Club,Crimsoune Club Navy Slim Fit Printed Shirt,₹1359.00,₹1699.00,0,0,https://www.tatacliq.com/crimsoune-club-navy-slim-fit-printed-shirt/p-mp000000019082172
Mufti,Mufti Navy Slim Fit Printed Shirt,₹1176.00,₹2399.00,0,0,https://www.tatacliq.com/mufti-navy-slim-fit-printed-shirt/p-mp000000019459908
Arrow,Arrow Off White Cotton Slim Fit Shirt,₹1373.00,₹2499.00,0,0,https://www.tatacliq.com/arrow-off-white-cotton-slim-fit-shirt/p-mp000000016521556
U.S. Polo Assn.,U.S. Polo Assn. Olive Green Cotton Regular Fit Checks Shirt,₹2699.00,₹2699.00,0,0,https://www.tatacliq.com/u-s-polo-assn-olive-green-cotton-regular-fit-checks-shirt/p-mp000000019227853
