Brand,Title,Selling Price,MRP Price,Average Rating,Rating Count,Web URL 
Vark,"Vark by Westside Solid Orange Anarkali Kurta, Pants & Brocade Dupatta",₹2599.00,₹2599.00,5.0,4,https://www.tatacliq.com/vark-by-westside-solid-orange-anarkali-kurta-pants-brocade-dupatta/p-mp000000019563879
Rangita,Rangita Peach Motifs Print Kurta & Palazzo Set,₹879.00,₹1599.00,3.56,9,https://www.tatacliq.com/rangita-peach-motifs-print-kurta-palazzo-set/p-mp000000018132404
Rain and Rainbow,Rain and Rainbow Fuchsia Pink Cotton Floral Print Kurta Pant Set,₹1497.00,₹2995.00,0,0,https://www.tatacliq.com/rain-and-rainbow-fuchsia-pink-cotton-floral-print-kurta-pant-set/p-mp000000019566948
Vark,Vark by Westside Yellow Floral Printed Kurti & Palazzos Set,₹2599.00,₹2599.00,5.0,1,https://www.tatacliq.com/vark-by-westside-yellow-floral-printed-kurti-palazzos-set/p-mp000000019328303
Juniper,Juniper Beige & White Floral Print Kurta Pant Set With Dupatta,₹1592.00,₹4549.00,3.75,8,https://www.tatacliq.com/juniper-beige-white-floral-print-kurta-pant-set-with-dupatta/p-mp000000015691071
Miravan,Miravan Yellow Embroidered Kurta Pant Set With Dupatta,₹1699.00,₹5999.00,0,0,https://www.tatacliq.com/miravan-yellow-embroidered-kurta-pant-set-with-dupatta/p-mp000000019594193
Rangita,Rangita Red Cotton Printed Kurti Pant Set With Dupatta,₹1199.00,₹2599.00,0,0,https://www.tatacliq.com/rangita-red-cotton-printed-kurti-pant-set-with-dupatta/p-mp000000019628745
Khushal K,Khushal K Pink Polka Dots Kurta Palazzo With Dupatta,₹1649.70,₹5499.00,3.0,7,https://www.tatacliq.com/khushal-k-pink-polka-dots-kurta-palazzo-with-dupatta/p-mp000000016426118
Rangita,Rangita Blue Cotton Printed Kurti Pant Set,₹899.00,₹1799.00,0,0,https://www.tatacliq.com/rangita-blue-cotton-printed-kurti-pant-set/p-mp000000019166494
Indi Inside,Indi Inside Pink Silk Embellished Kurta Sharara Set,₹1200.00,₹2999.00,0,0,https://www.tatacliq.com/indi-inside-pink-silk-embellished-kurta-sharara-set/p-mp000000019579021
Vark,Vark by Westside Blue Smocked Yoke Floral Printed Kurti & Palazzos Set,₹2599.00,₹2599.00,0,0,https://www.tatacliq.com/vark-by-westside-blue-smocked-yoke-floral-printed-kurti-palazzos-set/p-mp000000019328295
Janasya,Janasya Olive Cotton Bandhani Print Kurta & Palazzo Set,₹1579.00,₹4889.00,0,0,https://www.tatacliq.com/janasya-olive-cotton-bandhani-print-kurta-palazzo-set/p-mp000000019637829
Vark,Vark by Westside Floral Printed Pink Kurta & Pant Set,₹2299.00,₹2299.00,5.0,2,https://www.tatacliq.com/vark-by-westside-floral-printed-pink-kurta-pant-set/p-mp000000019197708
Lavanya The Label,Lavanya The Label Coral Printed Kurta Pant Set With Dupatta,₹3999.00,₹3999.00,0,0,https://www.tatacliq.com/lavanya-the-label-coral-printed-kurta-pant-set-with-dupatta/p-mp000000019639093
Anubhutee,Anubhutee Red & White Embellished Kurta Palazzo Set,₹1249.00,₹2989.00,0,0,https://www.tatacliq.com/anubhutee-red-white-embellished-kurta-palazzo-set/p-mp000000011113821
Khushal K,Khushal K Green Embellished Kurta With Palazzo & Dupatta,₹1634.70,₹5449.00,4.67,3,https://www.tatacliq.com/khushal-k-green-embellished-kurta-with-palazzo-dupatta/p-mp000000018500060
Biba,Biba Blue Printed Kaftan Pant Set,₹1399.00,₹2799.00,4.8,5,https://www.tatacliq.com/biba-blue-printed-kaftan-pant-set/p-mp000000012215369
Ishin,Ishin Pink Embroidered Kurta Pant Set,₹1719.60,₹4299.00,0,0,https://www.tatacliq.com/ishin-pink-embroidered-kurta-pant-set/p-mp000000019609480
Anubhutee,Anubhutee Green Cotton Printed Kurta & Palazzos Set,₹1049.00,₹3399.00,5.0,2,https://www.tatacliq.com/anubhutee-green-cotton-printed-kurta-palazzos-set/p-mp000000017380545
Khushal K,Khushal K Pink Printed Kurta Skirt Set,₹1289.70,₹4299.00,4.2,10,https://www.tatacliq.com/khushal-k-pink-printed-kurta-skirt-set/p-mp000000013774288
